film,year,filmID,actor,role,personID,repeat
The Holy Man,1965,tt0059417,Prabhat Sarkar,,nm4820275,2
Charulata,1964,tt0057935,Prabhat Sarkar,,nm4820275,2
The Holy Man,1965,tt0059417,Ajit Gupta,,nm4820297,2
Charulata,1964,tt0057935,Ajit Gupta,,nm4820297,2
Heerak Rajar Deshe,1980,tt0080856,Subal Dutta,,nm4866235,2
Distant Thunder,1973,tt0069737,Subal Dutta,,nm4866235,2
An Enemy of the People,1989,tt0097409,Somenath Majumdar,,nm5010491,2
Ghare-Baire,1984,tt0087328,Somenath Majumdar,,nm5010491,2
The Middleman,1975,tt0074710,Samir Lahiri,,nm5566545,2
The Big City,1963,tt0057277,Samir Lahiri,,nm5566545,2
An Enemy of the People,1989,tt0097409,Arup Pal Chowdhury,,nm5591378,2
Ghare-Baire,1984,tt0087328,Arup Pal Chowdhury,,nm5591378,2
The Chess Players,1977,tt0076696,Richard Attenborough,General Outram,nm0000277,1
The Chess Players,1977,tt0076696,Shabana Azmi,"Khurshid, Mirza's wife",nm0000818,1
The Chess Players,1977,tt0076696,Amitabh Bachchan,Narration,nm0000821,1
The Chess Players,1977,tt0076696,Saeed Jaffrey,Mir Roshan Ali,nm0006762,1
The Chess Players,1977,tt0076696,David Abraham,Munshi,nm0008932,1
Aparajito,1956,tt0048956,Kamala Adhikari,Mokshada,nm0011967,1
The Chess Players,1977,tt0076696,Bhudo Advani,Abbajani,nm0012539,1
Deliverance,1981,tt0083018,Mohan Agashe,The Brahmin,nm0012881,1
The Chess Players,1977,tt0076696,Agha,Chuttan Miyan,nm0013023,1
Ghare-Baire,1984,tt0087328,Gopa Aich,The sister-in-law,nm0014439,1
The Music Room,1958,tt0051792,Sardar Akhtar,Singer,nm0015293,1
The Chess Players,1977,tt0076696,Tom Alter,Capt. Weston,nm0022758,1
Kanchenjungha,1962,tt0056134,Erick Avari,,nm0042805,1
The Golden Fortress,1974,tt0072190,Santanu Bagchi,Mukul 2,nm0046549,1
Teen Kanya,1961,tt0055508,Chandana Banerjee,Ratan,nm0051832,1
Distant Thunder,1973,tt0069737,Chitra Banerjee,Moti,nm0051833,1
Pather Panchali,1955,tt0048473,Haren Banerjee,"Chinibas, Sweet-seller",nm0051836,1
Aparajito,1956,tt0048956,Lalchand Banerjee,Lahiri,nm0051837,1
Pather Panchali,1955,tt0048473,Runki Banerjee,Little Durga,nm0051846,1
Pather Panchali,1955,tt0048473,Subir Banerjee,Apu Ray,nm0052343,1
The Big City,1963,tt0057277,Jaya Bachchan,Bani,nm0080149,1
Days and Nights in the Forest,1970,tt0065417,Samit Bhanja,Hari,nm0080214,1
The Adversary,1970,tt0066237,Bhaskar Roy Chowdhury,,nm0080275,1
The Middleman,1975,tt0074710,Arati Bhattacharya,Mrs. Ganguli,nm0080341,1
The Holy Man,1965,tt0059417,Satindra Bhattacharya,Satya,nm0080362,1
The Middleman,1975,tt0074710,Umanath Bhattacharya,,nm0080369,1
The World of Apu,1959,tt0052572,Shanti Bhattacherjee,Office Associate,nm0080370,1
The Adventures of Goopy and Bagha,1969,tt0063023,Binoy Bose,Village elder / visitor to Halla,nm0097864,1
Days and Nights in the Forest,1970,tt0065417,Kaberi Bose,Jaya,nm0097876,1
The Adversary,1970,tt0066237,Krishna Bose,Sutapa,nm0097880,1
Nayak: The Hero,1966,tt0060742,Premangshu Bose,Biresh,nm0097891,1
Aparajito,1956,tt0048956,Harendrakumar Chakravarti,Doctor,nm0149839,1
The Zoo,1967,tt0061474,Kalipada Chakraborty,Rasiklal,nm0149840,1
The Goddess,1960,tt0053765,Khagesh Chakravarti,Kaviraj,nm0149841,1
The Golden Fortress,1974,tt0072190,Kushal Chakraborty,Mukul Dhar,nm0149842,1
The World of Apu,1959,tt0052572,Alok Chakravarty,Kajal,nm0149845,1
Company Limited,1971,tt0067729,Barun Chanda,Shyamalendu Chatterjee,nm0151285,1
The Adventures of Goopy and Bagha,1969,tt0063023,Abani Chatterjee,Village elder,nm0154106,1
Ghare-Baire,1984,tt0087328,Bimala Chatterjee,Kulada,nm0154116,1
The Big City,1963,tt0057277,Haren Chatterjee,Priyogopal,nm0154127,1
Aparajito,1956,tt0048956,Hemanta Chatterjee,Professor,nm0154130,1
The Adversary,1970,tt0066237,Mamata Chatterjee,Sanyal's wife,nm0154137,1
The Golden Fortress,1974,tt0072190,Rekha Chatterjee,Tapesh's mother,nm0154149,1
Ghare-Baire,1984,tt0087328,Swatilekha Sengupta,Bimala Choudhury,nm0154169,1
Deliverance,1981,tt0083018,Anand Chaube,,nm0154254,1
The Goddess,1960,tt0053765,Arpan Chowdhury,"Khoka, child",nm0159533,1
The Big City,1963,tt0057277,Arun Chowdhury,,nm0159534,1
Nayak: The Hero,1966,tt0060742,Lali Chowdhury,Bulbul,nm0159539,1
Company Limited,1971,tt0067729,Paromita Chowdhury,Dolan,nm0159541,1
Pather Panchali,1955,tt0048473,Uma Das Gupta,Durga,nm0201871,1
Teen Kanya,1961,tt0055508,Gita Dey,Nistarini,nm0212542,1
Pather Panchali,1955,tt0048473,Aparna Devi,Nilmoni's wife,nm0222436,1
The World of Apu,1959,tt0052572,Asha Devi,,nm0222439,1
Paras-Pathar,1958,tt0052046,Chandrabati Devi,Guest at Cocktail Party,nm0222443,1
Pather Panchali,1955,tt0048473,Chunibala Devi,Indir Thakrun,nm0222447,1
Aparajito,1956,tt0048956,Meenakshi Devi,Pandey's wife,nm0222461,1
Pather Panchali,1955,tt0048473,Nibhanani Devi,Dasi Thakurun,nm0222467,1
The Goddess,1960,tt0053765,Shanta Devi,Sarala,nm0222486,1
Deliverance,1981,tt0083018,Salil Dhar Diwan,,nm0228688,1
Pather Panchali,1955,tt0048473,Rama Gangopadhaya,Ranu Mookerjee,nm0304346,1
Pather Panchali,1955,tt0048473,Roma Ganguli,Roma,nm0304351,1
Distant Thunder,1973,tt0069737,Anil Ganguly,Nibaran,nm0304356,1
Days and Nights in the Forest,1970,tt0065417,Simi Garewal,Duli,nm0307231,1
Aparajito,1956,tt0048956,Smaran Ghosal,Apu - adolescent,nm0315871,1
Abhijaan,1962,tt0055724,Bhanu Ghosh,,nm0315879,1
Distant Thunder,1973,tt0069737,Debatosh Ghosh,Adhar,nm0315885,1
The World of Apu,1959,tt0052572,Dhiren Ghosh,Landlord,nm0315888,1
Abhijaan,1962,tt0055724,Shailen Ghosh,,nm0315921,1
Pikoor Diary,1981,tt0082906,Arjun Guha-Thakurta,Pikoo,nm0346624,1
Kanchenjungha,1962,tt0056134,Anubha Gupta,Anima,nm0348465,1
Aparajito,1956,tt0048956,Santi Gupta,Ginnima,nm0348496,1
Nayak: The Hero,1966,tt0060742,Hiralal,Kamal Misra,nm0386229,1
The Goddess,1960,tt0053765,Mohammed Israil,Nibaran,nm0411505,1
The Chess Players,1977,tt0076696,Farida Jalal,"Nafisa, Mir's wife",nm0416077,1
The Chess Players,1977,tt0076696,Barry John,,nm0424134,1
The Goddess,1960,tt0053765,Nagendranath Kabyabyakarantirtha,Priest,nm0434127,1
Ghare-Baire,1984,tt0087328,Jennifer Kendal,Miss Gilby,nm0447557,1
The Chess Players,1977,tt0076696,Amjad Khan,Wajid Ali Shah,nm0451166,1
The Music Room,1958,tt0051792,Bismillah Khan,Musician,nm0451190,1
The Music Room,1958,tt0051792,Salamat Ali Khan,Khyal singer,nm0451310,1
The Music Room,1958,tt0051792,Waheed Khan,Ustad Ujir Khan,nm0451339,1
The Chess Players,1977,tt0076696,Sanjeev Kumar,Mirza Sajjad Ali,nm0474876,1
The Music Room,1958,tt0051792,Roshan Kumari,"Krishna Bai, dancer",nm0474935,1
The Chess Players,1977,tt0076696,Veena,Queen Mother,nm0474940,1
The World of Apu,1959,tt0052572,Dhiresh Majumdar,Shashinarayan,nm0538291,1
The Adversary,1970,tt0066237,Pisu Majumdar,Keya's father,nm0538298,1
The Adventures of Goopy and Bagha,1969,tt0063023,Preeti Majumdar,,nm0538299,1
The Zoo,1967,tt0061474,Sushil Majumdar,Nishanath Sen,nm0538305,1
Heerak Rajar Deshe,1980,tt0080856,Robin Majumdar,Charandas,nm0538307,1
The Chess Players,1977,tt0076696,Leela Mishra,"Hirya, Khurshid's maid",nm0592789,1
Deliverance,1981,tt0083018,Richa Mishra,Dhania,nm0592798,1
Aparajito,1956,tt0048956,Ajay Mitra,Anil,nm0593940,1
Paras-Pathar,1958,tt0052046,Kamal Mitra,Guest at Cocktail Party,nm0593951,1
Aparajito,1956,tt0048956,Anil Mukherjee,Abinash,nm0611506,1
Kanchenjungha,1962,tt0056134,Arun Mukherjee,Ashoke,nm0611509,1
Pather Panchali,1955,tt0048473,Binoy Mukherjee,Baidyanath Majumdar,nm0611518,1
Abhijaan,1962,tt0055724,Gyanesh Mukherjee,Joseph,nm0611525,1
An Enemy of the People,1989,tt0097409,Gobinda Mukherjee,,nm0611526,1
Paras-Pathar,1958,tt0052046,Nitish Mukherjee,Guest at Cocktail Party,nm0611541,1
The Goddess,1960,tt0053765,Purnendu Mukherjee,Taraprasad,nm0611547,1
Distant Thunder,1973,tt0069737,Ramesh Mukherjee,Biswas,nm0611551,1
The Golden Fortress,1974,tt0072190,Shiuli Mukherjee,Mukul's mother,nm0611564,1
Teen Kanya,1961,tt0055508,Sita Mukherjee,Jogmaya,nm0611566,1
Charulata,1964,tt0057935,Suku Mukherjee,Nishikanta,nm0611569,1
The World of Apu,1959,tt0052572,Swapan Mukherjee,Pulu,nm0611575,1
The Music Room,1958,tt0051792,Pratap Mukherjee,,nm0611591,1
Paras-Pathar,1958,tt0052046,Amar Mullick,Guest at Cocktail Party,nm0612280,1
Branches of the Tree,1990,tt0100587,Ranjit Mallick,Protap,nm0612334,1
Pather Panchali,1955,tt0048473,Harimohan Nag,Doctor,nm0619049,1
The Chess Players,1977,tt0076696,Samarth Narain,Kallu,nm0621204,1
Distant Thunder,1973,tt0069737,Sheli Pal,Mokshada,nm0657182,1
Aparajito,1956,tt0048956,Bhaganu Palwan,Palwan,nm0658890,1
Aparajito,1956,tt0048956,K.S. Pandey,Pandey,nm0659237,1
Deliverance,1981,tt0083018,Smita Patil,Jhuria,nm0665599,1
Deliverance,1981,tt0083018,Om Puri,Dukhi,nm0700875,1
The Big City,1963,tt0057277,Vicky Redwood,Edith,nm0715200,1
Abhijaan,1962,tt0055724,Waheeda Rehman,Gulabi,nm0716851,1
Kanchenjungha,1962,tt0056134,Alakananda Ray,Monisha,nm0746923,1
The Adversary,1970,tt0066237,Debraj Ray,Tunu,nm0746988,1
The Adversary,1970,tt0066237,Dhara Roy,Keya's aunt,nm0746995,1
Company Limited,1971,tt0067729,Indira Roy,,nm0747048,1
Ghare-Baire,1984,tt0087328,Indrapramit Roy,Amulya,nm0747049,1
The Adversary,1970,tt0066237,Jayasree Kabir,Keya,nm0747072,1
Aparajito,1956,tt0048956,Kalicharan Roy,"Akhil, press owner",nm0747082,1
Pather Panchali,1955,tt0048473,Kshirod Roy,Priest,nm0747091,1
Teen Kanya,1961,tt0055508,Kumar Roy,Madhusudan,nm0747092,1
Distant Thunder,1973,tt0069737,Sandhya Roy,Chutki,nm0747178,1
The Zoo,1967,tt0061474,Subira Roy,"Mukul, Gupta's daughter",nm0747191,1
Distant Thunder,1973,tt0069737,Suchita Ray Chaudhury,Khenti,nm0747193,1
Aparajito,1956,tt0048956,Sudipta Roy,Nirupama,nm0747195,1
The Adventures of Goopy and Bagha,1969,tt0063023,Joykrishna Sanyal,Court singer at Shundi,nm0764404,1
Nayak: The Hero,1966,tt0060742,Sumita Sanyal,Promila Chatterjee,nm0764407,1
The Big City,1963,tt0057277,Prasenjit Sarkar,Pintu,nm0765271,1
Nayak: The Hero,1966,tt0060742,Ranjit Sen,Haren Bose,nm0784029,1
Aparajito,1956,tt0048956,Ramani Sengupta,Bhabataran,nm0784291,1
The Chess Players,1977,tt0076696,Farooq Shaikh,Aqueel,nm0787582,1
Deliverance,1981,tt0083018,Wahid Shareef,,nm0788734,1
Deliverance,1981,tt0083018,Shyam Sundar Sharma,,nm0788920,1
Deliverance,1981,tt0083018,Gita Siddharth,The Brahmin's wife,nm0796496,1
Kanchenjungha,1962,tt0056134,Indrani Singh,Tuklu,nm0802136,1
The World of Apu,1959,tt0052572,Bechu Singha,,nm0802261,1
Nayak: The Hero,1966,tt0060742,Jamuna Sinha,Sefalika,nm0802361,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Santosh Singha,Shashibabu,nm0802373,1
Kanchenjungha,1962,tt0056134,Vidya Sinha,,nm0802378,1
The Middleman,1975,tt0074710,Sudeshna,Kauna / Juthika,nm0837185,1
Deliverance,1981,tt0083018,Narendra Thakak,,nm0856877,1
Deliverance,1981,tt0083018,Anand Verma,,nm0894337,1
Kanchenjungha,1962,tt0056134,N. Viswanathan,Bannerjee,nm0899801,1
The Stranger,1991,tt0101279,Sourav Banerjee,,nm10015897,1
Nayak: The Hero,1966,tt0060742,Jayanta Bhattacharya,,nm1129637,1
The Big City,1963,tt0057277,Smita Sinha,,nm1400302,1
Ghare-Baire,1984,tt0087328,Shashanka Bhattacharya,,nm1406014,1
Kanchenjungha,1962,tt0056134,Nilima Roy Chowdhuri,,nm1413235,1
An Enemy of the People,1989,tt0097409,Ajit Chatterjee,,nm1507675,1
The Adversary,1970,tt0066237,Soumitra Bannerjee,,nm1548032,1
The Zoo,1967,tt0061474,Rupak Majumdar,,nm1550510,1
Nayak: The Hero,1966,tt0060742,Susmita Mukherjee,Molly,nm1640133,1
The Middleman,1975,tt0074710,Gautam Chakraborty,Sukumar,nm1714765,1
Abhijaan,1962,tt0055724,Arati Das,,nm1715270,1
The Big City,1963,tt0057277,Shila Pal,,nm1800973,1
The Chess Players,1977,tt0076696,Ramesh Khosla,,nm1810171,1
The Chess Players,1977,tt0076696,Shaik Farid,,nm1839749,1
The Chess Players,1977,tt0076696,Amrit Bhushan Gujral,,nm1839816,1
The Chess Players,1977,tt0076696,Ashfaq Mirza,,nm1840026,1
The Chess Players,1977,tt0076696,Pradip Shankar,,nm1840206,1
The Chess Players,1977,tt0076696,Madan Sudan,,nm1840234,1
The Chess Players,1977,tt0076696,Saswati Sen,Dancer,nm1842135,1
Distant Thunder,1973,tt0069737,Shubhra Nath,,nm1917285,1
Heerak Rajar Deshe,1980,tt0080856,Shankar Ghosh,,nm2484258,1
The Golden Fortress,1974,tt0072190,Nemai Ghosh,Photographer,nm2561602,1
Branches of the Tree,1990,tt0100587,Soham Chakraborty,,nm2597881,1
Deliverance,1981,tt0083018,Bhaialal Hedao,The Gond,nm2754616,1
Deliverance,1981,tt0083018,Shefali Shukla,,nm2754854,1
Deliverance,1981,tt0083018,Keshri Bajgaji,,nm2755998,1
Deliverance,1981,tt0083018,Ratna Bhatta,,nm2757760,1
The Adversary,1970,tt0066237,Rajesh,,nm2860034,1
Ghare-Baire,1984,tt0087328,Haradhan Basu,,nm3517779,1
The Adversary,1970,tt0066237,Mihir Pal,,nm3605715,1
An Enemy of the People,1989,tt0097409,Kamal Deb,,nm3605919,1
Heerak Rajar Deshe,1980,tt0080856,Rajib Ganguly,,nm3610142,1
Branches of the Tree,1990,tt0100587,Sunil Gupta Kabiraj,,nm3610599,1
Heerak Rajar Deshe,1980,tt0080856,Koushik Chatterjee,,nm3611023,1
The Adversary,1970,tt0066237,Ajit Gangopadhyay,,nm3776744,1
The Big City,1963,tt0057277,Anuradha Guha,,nm3990569,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Moloy Roy,'Bishwashree' Gunamoy Bagchi,nm4427660,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Jit Bose,Ruksmini Kumar Ghosal,nm4440312,1
Company Limited,1971,tt0067729,Anita Mukhopadhyay,,nm4444621,1
The Holy Man,1965,tt0059417,Ila Chatterjee,,nm4452865,1
Nayak: The Hero,1966,tt0060742,Bubu Ganguly,,nm4503844,1
The Big City,1963,tt0057277,Shailesh Mukherjee,,nm4512527,1
Heerak Rajar Deshe,1980,tt0080856,Alpana Gupta,,nm4522883,1
Heerak Rajar Deshe,1980,tt0080856,Samir Mukherjee,,nm4526711,1
The Goddess,1960,tt0053765,Anil Bag,,nm4531497,1
Abhijaan,1962,tt0055724,Rathin Ghosh,,nm4531527,1
An Enemy of the People,1989,tt0097409,Purnendu Mukherjee,,nm4586916,1
Heerak Rajar Deshe,1980,tt0080856,Somenath Mukherjee,,nm4627782,1
Heerak Rajar Deshe,1980,tt0080856,Bimal Banerjee,,nm4654435,1
Abhijaan,1962,tt0055724,Kali Chakraborty,,nm4693009,1
Distant Thunder,1973,tt0069737,Sachin Chakraborty,,nm4715487,1
Ghare-Baire,1984,tt0087328,Bibhuti Nandy,,nm4727279,1
An Enemy of the People,1989,tt0097409,Prabhat Mukhopadhyay,,nm4749928,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Samiran Roy,,nm4814535,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Bhaskar Patra,,nm4814546,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Subhadra Devi,,nm4814563,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Indubhushan Gujral,,nm4814565,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Pannalal Yadav,,nm4814570,1
Joi Baba Felunath: The Elephant God,1979,tt0077775,Parinita Banerjee,,nm4814615,1
The Golden Fortress,1974,tt0072190,Debjani Sengupta,,nm4814629,1
The Golden Fortress,1974,tt0072190,N.L. Tak,,nm4814641,1
The Golden Fortress,1974,tt0072190,Chandrama Singh,,nm4814648,1
The Golden Fortress,1974,tt0072190,Uday Singh Gailol,,nm4814650,1
The Golden Fortress,1974,tt0072190,Devi Singh Rathour,,nm4814670,1
The Golden Fortress,1974,tt0072190,Pradip Parekh,,nm4814682,1
The Golden Fortress,1974,tt0072190,Manjula Kar,,nm4814690,1
The Golden Fortress,1974,tt0072190,Sardar Jarnel Singh,,nm4814695,1
The Golden Fortress,1974,tt0072190,Sujit Ganguly,,nm4814705,1
The Holy Man,1965,tt0059417,J. Banerjee,,nm4820231,1
The Holy Man,1965,tt0059417,Shrikanto Chattopadhyay,,nm4820235,1
The Holy Man,1965,tt0059417,Jagat Chakraborty,,nm4820241,1
The Holy Man,1965,tt0059417,Aditya Singh,,nm4820261,1
The Holy Man,1965,tt0059417,P. Pal,,nm4820266,1
The Holy Man,1965,tt0059417,Nani Sardar,,nm4820271,1
The Middleman,1975,tt0074710,Pradip Neogi,,nm4821964,1
The Middleman,1975,tt0074710,Alokendu Dey,Fatikchand,nm4825642,1
The Adversary,1970,tt0066237,Ajit Ghosh,,nm4828558,1
The Stranger,1991,tt0101279,Bikram Bhattacharya,Satyaki Bose,nm4865982,1
The Adventures of Goopy and Bagha,1969,tt0063023,Balai Das,,nm4878227,1
The Adventures of Goopy and Bagha,1969,tt0063023,Iva Banerjee,,nm4878254,1
The Adventures of Goopy and Bagha,1969,tt0063023,Bhaswati Chatterjee,,nm4878268,1
The Adventures of Goopy and Bagha,1969,tt0063023,Ramen Bhaduri,,nm4878301,1
Branches of the Tree,1990,tt0100587,Samaresh Mukhopadhyay,,nm4890352,1
The Middleman,1975,tt0074710,Dipak Roy Chowdhury,,nm4892830,1
The Adversary,1970,tt0066237,Biplab Chakraborty,,nm4894691,1
The World of Apu,1959,tt0052572,Gupi Banerjee,,nm4897797,1
The Adversary,1970,tt0066237,Tapan Roy,,nm4939793,1
The Goddess,1960,tt0053765,Anil Mitra,,nm4955878,1
Ghare-Baire,1984,tt0087328,Subal Das,,nm4964369,1
An Enemy of the People,1989,tt0097409,Prabir Ganguly,,nm4966762,1
The Big City,1963,tt0057277,Bibhuti Banerjee,,nm4970577,1
Abhijaan,1962,tt0055724,Bireshwar Sarkhel,,nm4973262,1
Abhijaan,1962,tt0055724,Krishnakali Bhattacharya,,nm5024420,1
Abhijaan,1962,tt0055724,Narayan Das,,nm5024440,1
The Adversary,1970,tt0066237,Gaja Basu,,nm5192755,1
The Zoo,1967,tt0061474,Alok Mitra,,nm5207507,1
Distant Thunder,1973,tt0069737,Tapan Dutta,,nm5215927,1
The Adversary,1970,tt0066237,Arun Dey,,nm5317227,1
The Middleman,1975,tt0074710,Sumitra Chakraborty,,nm5353457,1
Days and Nights in the Forest,1970,tt0065417,Premashish Sen,,nm5377809,1
The Zoo,1967,tt0061474,Colin Mendese,,nm5562452,1
Distant Thunder,1973,tt0069737,Santosh Kumar Mitra,,nm5562456,1
The Zoo,1967,tt0061474,Tusharkanti Mukherjee,,nm5562474,1
The Zoo,1967,tt0061474,Debashish Pramanik,,nm5562482,1
Distant Thunder,1973,tt0069737,Dalim Guha,,nm5562483,1
The Zoo,1967,tt0061474,Radhanath Nayak,,nm5562500,1
The Zoo,1967,tt0061474,Ramen Gupta,,nm5562507,1
Nayak: The Hero,1966,tt0060742,Subinoy Das,,nm5564461,1
Nayak: The Hero,1966,tt0060742,Md. Mansoor,,nm5564497,1
Nayak: The Hero,1966,tt0060742,Ranjit Singha,,nm5564721,1
Nayak: The Hero,1966,tt0060742,Biren Das,,nm5564726,1
The Big City,1963,tt0057277,Tarak Mitra,,nm5566568,1
The Big City,1963,tt0057277,Manisha Chakraborty,,nm5566660,1
The Big City,1963,tt0057277,Jyoti Kripalani,,nm5566681,1
The Big City,1963,tt0057277,Pritish Dey,,nm5566777,1
Charulata,1964,tt0057935,Gopaldas Bhattacharya,,nm5568565,1
Charulata,1964,tt0057935,Tarapada Basu,,nm5568593,1
Charulata,1964,tt0057935,Sunilkanta Dasgupta,,nm5568640,1
Charulata,1964,tt0057935,Ramesh Chandra Chandra,,nm5568698,1
Abhijaan,1962,tt0055724,Mahin Basu,,nm5570216,1
Abhijaan,1962,tt0055724,Kartik Mukhopadhyay,,nm5570269,1
Abhijaan,1962,tt0055724,Debi Chattopadhyay,,nm5570272,1
The Coward,1965,tt0059348,Deochand Lal,,nm5570273,1
Abhijaan,1962,tt0055724,Shankar Lahiri,,nm5570281,1
Abhijaan,1962,tt0055724,Kartik Chanda,,nm5570286,1
Abhijaan,1962,tt0055724,Gadadhar Sen,,nm5570299,1
Abhijaan,1962,tt0055724,Bhola Bhattacharya,,nm5570306,1
The Coward,1965,tt0059348,Satish Haldar,,nm5570307,1
Kanchenjungha,1962,tt0056134,David Royals,,nm5572166,1
Kanchenjungha,1962,tt0056134,Guinye,,nm5572192,1
Teen Kanya,1961,tt0055508,Haricharan Nag,,nm5573968,1
Teen Kanya,1961,tt0055508,Arundhati Roy,,nm5574011,1
Teen Kanya,1961,tt0055508,Khana Roy Chowdhury,,nm5574021,1
Teen Kanya,1961,tt0055508,Gopal Sen,Bilash,nm5574053,1
Teen Kanya,1961,tt0055508,Narayan Ghosh,,nm5574054,1
Teen Kanya,1961,tt0055508,Batakrishna Nandan,,nm5574056,1
Teen Kanya,1961,tt0055508,Krishnakamal Bhattacharya,,nm5574063,1
The Goddess,1960,tt0053765,Arabinda Kumar Chowdhury,,nm5574621,1
The World of Apu,1959,tt0052572,Jiten Bhons,,nm5576471,1
The World of Apu,1959,tt0052572,Tushar Bandyopadhyay,,nm5576481,1
The World of Apu,1959,tt0052572,Biresh Majumdar,,nm5576520,1
The World of Apu,1959,tt0052572,Biren Ghosh,,nm5576537,1
The Adversary,1970,tt0066237,Chittaranjan Chatterjee,,nm5579731,1
Pather Panchali,1955,tt0048473,Rampada Das,,nm5580026,1
The Adversary,1970,tt0066237,Samir Nag,,nm5580049,1
The Adversary,1970,tt0066237,Chandi Sen,,nm5580103,1
The Adversary,1970,tt0066237,Abdul Majid,,nm5580441,1
The Adversary,1970,tt0066237,K.K. Iyengar,,nm5580479,1
The Adversary,1970,tt0066237,Arya Mukherjee,,nm5580578,1
The Adversary,1970,tt0066237,Indra Roy,,nm5580588,1
The Adversary,1970,tt0066237,Indrani Roy Chowdhury,,nm5580718,1
The Adversary,1970,tt0066237,Ratanlal Chowdhury,,nm5581086,1
The Adversary,1970,tt0066237,Amar Bardhan,,nm5581289,1
The Adversary,1970,tt0066237,Anja Savarwal,,nm5581377,1
The Adversary,1970,tt0066237,Anindita Chatterjee,,nm5581505,1
The Adversary,1970,tt0066237,Bishnupada Das,,nm5581584,1
Aparajito,1956,tt0048956,Saraswati Pandey,,nm5581649,1
The Adversary,1970,tt0066237,Anil Ganguly,,nm5581710,1
The Adversary,1970,tt0066237,Kaushik Deb,,nm5581726,1
Aparajito,1956,tt0048956,Shibnarayan Nag,,nm5581805,1
The Adversary,1970,tt0066237,Asgar Ali,,nm5581814,1
Aparajito,1956,tt0048956,Debabrata Chakraborty,,nm5581917,1
The Adversary,1970,tt0066237,Ranajit Chatterjee,,nm5582040,1
Aparajito,1956,tt0048956,Udayshankar Tiwari,,nm5582083,1
The Adversary,1970,tt0066237,Nihar Roy,,nm5582225,1
The Adversary,1970,tt0066237,Arabinda Banerjee,,nm5582332,1
The Adversary,1970,tt0066237,Mulesh Jain,,nm5582528,1
The Adversary,1970,tt0066237,Parameshwar Raut,,nm5582819,1
Pather Panchali,1955,tt0048473,Suren Roy,,nm5583219,1
The Adversary,1970,tt0066237,B.P. Roy,,nm5583237,1
Aparajito,1956,tt0048956,Keya Sengupta,,nm5583250,1
Distant Thunder,1973,tt0069737,Paritosh Banerjee,,nm5584974,1
Distant Thunder,1973,tt0069737,Bishnu Sen,,nm5584977,1
Distant Thunder,1973,tt0069737,Manojit Lahiri,,nm5585055,1
Distant Thunder,1973,tt0069737,Gobardhan Ghosh,,nm5585085,1
Distant Thunder,1973,tt0069737,Shrikumar Dutta,,nm5585108,1
Distant Thunder,1973,tt0069737,Sucheta Roy,,nm5585131,1
Company Limited,1971,tt0067729,Vishnu Vaswani,,nm5586655,1
Company Limited,1971,tt0067729,G.V.R. Murthy,,nm5586656,1
Company Limited,1971,tt0067729,Tarun Bhattacharya,,nm5586658,1
Company Limited,1971,tt0067729,Parameshwar Pandey,,nm5586659,1
Company Limited,1971,tt0067729,Manju Puri,,nm5586661,1
Company Limited,1971,tt0067729,Minakshi Ganguly,,nm5586666,1
Company Limited,1971,tt0067729,Basudeb Mukherjee,,nm5586668,1
Company Limited,1971,tt0067729,Dipak Dutta,,nm5586675,1
Company Limited,1971,tt0067729,Barry Chakraborty,,nm5586682,1
Company Limited,1971,tt0067729,Eric Davis,,nm5586683,1
Company Limited,1971,tt0067729,Ritun Chatterjee,,nm5586684,1
Company Limited,1971,tt0067729,Rahul Bhagat,,nm5586688,1
Company Limited,1971,tt0067729,Peter Wales,,nm5586690,1
Company Limited,1971,tt0067729,John Watkin,,nm5586692,1
Company Limited,1971,tt0067729,Althia Ensob,,nm5586696,1
Company Limited,1971,tt0067729,Amalendu Gupta,,nm5586697,1
Company Limited,1971,tt0067729,Rita Deb Burman,,nm5586699,1
Company Limited,1971,tt0067729,Rambrij Thakur,,nm5586700,1
Company Limited,1971,tt0067729,Ratna Chatterjee,,nm5586705,1
Company Limited,1971,tt0067729,Mani Iyer,,nm5586710,1
Company Limited,1971,tt0067729,Prashanta Kumar Mallick,,nm5586717,1
The Middleman,1975,tt0074710,P.C. Mukherjee,,nm5586945,1
The Middleman,1975,tt0074710,Prashanta Das,,nm5586957,1
The Middleman,1975,tt0074710,Sudip Banerjee,,nm5586978,1
The Middleman,1975,tt0074710,Sachin Bhattacharya,,nm5587009,1
The Middleman,1975,tt0074710,Madhu Saha,,nm5587013,1
The Middleman,1975,tt0074710,M.N. Poddar,,nm5587026,1
The Middleman,1975,tt0074710,Banibrata Poddar,,nm5587097,1
The Middleman,1975,tt0074710,Rajen Brijnath,,nm5587104,1
The Middleman,1975,tt0074710,P.L. Sanganaria,,nm5587111,1
The Middleman,1975,tt0074710,Gaurishankar Chowdhury,,nm5587117,1
The Middleman,1975,tt0074710,Basudeb Chatterjee,,nm5587128,1
